wavelength,x,y,z
0.1465,0.0,-0.16015625,0.0400390625
0.147,0.0,-0.16015625,0.0400390625
0.1475,0.0,-0.16015625,0.0
0.148,0.0400390625,-0.16015625,0.0400390625
0.1485,0.0400390625,-0.16015625,0.0400390625
0.149,0.0400390625,-0.2001953125,0.0
0.1495,0.0,-0.2001953125,0.0
0.15,0.0400390625,-0.16015625,0.0400390625
0.1505,0.0,-0.16015625,0.0400390625
0.151,0.0400390625,0.0,0.0400390625
0.1515,0.0400390625,0.0,0.0400390625
0.152,0.0400390625,0.0,0.0400390625
0.1525,0.0400390625,0.0,0.0400390625
0.153,0.0,0.0,0.0400390625
0.1535,0.0,0.0,0.0400390625
0.154,0.0,0.0,0.0400390625
0.1545,0.0,0.0,0.0400390625
0.155,0.0,0.0,0.0400390625
0.1555,0.0,0.0400390625,0.0400390625
0.156,0.0,0.0,0.0400390625
0.1565,0.0,0.0,0.0400390625
0.157,0.0,0.0,0.0400390625
0.1575,0.0,0.0,0.0400390625
0.158,0.0,0.0,0.0400390625
0.1585,0.0,0.0,0.0400390625
0.159,0.0,0.0,0.0400390625
0.1595,0.0,0.0,0.0400390625
0.16,0.0,0.0,0.0400390625
0.1605,0.0,0.0,0.0400390625
0.161,0.0,0.0,0.0400390625
0.1615,0.0,0.0,0.0400390625
0.162,0.0,-0.1201171875,0.0400390625
0.1625,0.0,-0.16015625,0.0400390625
0.163,0.0,-0.16015625,0.0
0.1635,0.0,-0.16015625,0.0400390625
0.164,0.0,-0.16015625,0.0400390625
0.1645,0.0400390625,-0.2001953125,0.0400390625
0.165,0.0400390625,-0.2001953125,0.0400390625
0.1655,0.0,-0.2001953125,0.0
0.166,0.0,-0.16015625,0.0400390625
0.1665,0.0400390625,-0.16015625,0.0400390625
0.167,0.0400390625,-0.16015625,0.0400390625
0.1675,0.0400390625,-0.16015625,0.0
0.168,0.0400390625,0.0,0.0400390625
0.1685,0.0,0.0,0.0400390625
0.169,0.0,0.0,0.0400390625
0.1695,0.0400390625,0.0,0.0400390625
0.17,0.0,0.0,0.0400390625
0.1705,0.0,0.0,0.0400390625
0.171,0.0,0.0,0.0400390625
0.1715,0.0,0.0400390625,0.0400390625
0.172,0.0,0.0400390625,0.0400390625
0.1725,0.0,0.0,0.0400390625
0.173,0.0,0.0,0.0400390625
0.1735,0.0,0.0,0.0
0.174,0.0,0.0,0.0400390625
0.1745,0.0,0.0,0.0400390625
0.175,0.0,0.0,0.080078125
0.1755,0.0,0.0,0.0400390625
0.176,0.0,0.0,0.0400390625
0.1765,0.0,0.0,0.0400390625
0.177,0.0,0.0,0.0400390625
0.1775,0.0,0.0,0.0400390625
0.178,0.0,0.0,0.0400390625
0.1785,0.0,0.0,0.0400390625
0.179,0.0,-0.16015625,0.0400390625
0.1795,0.0,-0.16015625,0.0400390625
0.18,0.0,-0.16015625,0.0400390625
0.1805,0.0,-0.2001953125,0.0400390625
0.181,0.0,-0.2001953125,0.0400390625
0.1815,0.0400390625,-0.16015625,0.0
0.182,0.0,-0.16015625,0.0
0.1825,0.0400390625,-0.16015625,0.0400390625
0.183,0.0400390625,-0.16015625,0.0400390625
0.1835,0.0400390625,-0.16015625,0.0400390625
0.184,0.0400390625,-0.16015625,0.0400390625
0.1845,0.0400390625,-0.16015625,0.0400390625
0.185,0.0,0.0,0.0400390625
0.1855,0.0,0.0,0.0400390625
0.186,0.0,0.0,0.0400390625
0.1865,0.0,0.0,0.0400390625
0.187,0.0,0.0,0.0400390625
0.1875,0.0,0.0,0.0400390625
0.188,0.0,0.0,0.0400390625
0.1885,0.0,0.0,0.0400390625
0.189,0.0,0.0,0.0400390625
0.1895,0.0,0.0400390625,0.0400390625
0.19,0.0,0.0400390625,0.0400390625
0.1905,0.0,0.0400390625,0.0400390625
0.191,0.0,0.0,0.0400390625
0.1915,0.0,0.0,0.0400390625
0.192,0.0,0.0,0.0400390625
0.1925,0.0,0.0,0.0400390625
0.193,0.0,0.0,0.0400390625
0.1935,0.0,0.0,0.0400390625
0.194,0.0,0.0,0.0400390625
0.1945,0.0,0.0,0.0400390625
0.195,0.0,-0.1201171875,0.0400390625
0.1955,0.0,-0.1201171875,0.0400390625
0.196,0.0,-0.16015625,0.0400390625
0.1965,0.0,-0.16015625,0.0400390625
0.197,0.0,-0.16015625,0.0400390625
0.1975,0.0,-0.16015625,0.0400390625
0.198,0.0,-0.16015625,0.0400390625
0.1985,0.0,-0.16015625,0.0400390625
0.199,0.0400390625,-0.16015625,0.0400390625
0.1995,0.0400390625,-0.16015625,0.0400390625
0.2,0.0400390625,-0.16015625,0.0400390625
0.2005,0.0400390625,-0.16015625,0.0
0.201,0.0400390625,-0.1201171875,0.0400390625
0.2015,0.0,-0.1201171875,0.0400390625
0.202,0.0,0.0,0.0400390625
0.2025,0.0,0.0,0.0400390625
0.203,0.0,0.0,0.0400390625
0.2035,0.0,0.0,0.0400390625
0.204,0.0,0.0,0.0400390625
0.2045,0.0,0.0,0.0
0.205,0.0,0.0,0.0400390625
0.2055,0.0,0.0400390625,0.0400390625
0.206,0.0,0.0,0.0400390625
0.2065,0.0,0.0400390625,0.0400390625
0.207,0.0,0.0,0.0400390625
0.2075,0.0,0.0,0.0400390625
0.208,0.0,0.0,0.0400390625
0.2085,0.0,0.0,0.0400390625
0.209,0.0,0.0,0.0400390625
0.2095,0.0,0.0,0.0400390625
0.21,0.0,0.0,0.0400390625
0.2105,0.0,0.0,0.0400390625
0.211,0.0,0.0,0.0400390625
0.2115,0.0,0.0,0.0400390625
0.212,0.0,-0.1201171875,0.0400390625
0.2125,0.0,-0.16015625,0.0400390625
0.213,0.0,-0.16015625,0.0
0.2135,0.0,-0.16015625,0.0400390625
0.214,0.0,-0.16015625,0.0400390625
0.2145,0.0,-0.16015625,0.0400390625
0.215,0.0,-0.16015625,0.0400390625
0.2155,0.0,-0.16015625,0.0
0.216,0.0400390625,-0.16015625,0.0400390625
0.2165,0.0,-0.16015625,0.0
0.217,0.0400390625,-0.16015625,0.0400390625
0.2175,0.0,-0.16015625,0.0400390625
0.218,0.0400390625,0.0,0.0400390625
0.2185,0.0400390625,0.0,0.0400390625
0.219,0.0400390625,0.0,0.0400390625
0.2195,0.0,0.0,0.0400390625
0.22,0.1201171875,0.0400390625,0.0400390625
0.2205,0.0,0.0,0.0400390625
0.221,0.0,0.0,0.0400390625
0.2215,0.0,0.0,0.0400390625
0.222,0.0,0.0,0.0400390625
0.2225,0.0,0.0,0.0400390625
0.223,0.0,0.0400390625,0.0400390625
0.2235,0.0,0.0400390625,0.0400390625
0.224,0.0,0.0,0.0400390625
0.2245,0.0,0.0,0.0400390625
0.225,0.0,0.0400390625,0.0400390625
0.2255,0.0,0.0,0.0400390625
0.226,0.0,0.0,0.0400390625
0.2265,0.0,0.0,0.0400390625
0.227,0.0,0.0,0.0400390625
0.2275,0.0,0.0,0.0400390625
0.228,0.080078125,0.0,0.0
0.2285,0.0,-0.16015625,0.0400390625
0.229,0.0,-0.16015625,0.0
0.2295,0.0,-0.16015625,0.0
0.23,0.0,-0.16015625,0.0400390625
0.2305,0.0,-0.16015625,0.0400390625
0.231,0.0,-0.16015625,0.0400390625
0.2315,0.0,-0.16015625,0.0
0.232,0.0,-0.16015625,0.0400390625
0.2325,0.0,-0.16015625,0.0400390625
0.233,0.0400390625,-0.16015625,0.0
0.2335,0.0,-0.16015625,0.0400390625
0.234,0.0400390625,-0.16015625,0.0
0.2345,0.0400390625,-0.1201171875,0.0400390625
0.235,0.0400390625,0.0,0.0400390625
0.2355,0.0,0.0,0.0400390625
0.236,0.0,-0.16015625,0.0
0.2365,0.0,0.0,0.0400390625
0.237,-0.16015625,-0.16015625,0.1201171875
0.2375,0.0,0.0,0.0400390625
0.238,0.0,0.0,0.0400390625
0.2385,0.0,0.0,0.0400390625
0.239,0.0,0.0400390625,0.0400390625
0.2395,0.0,0.0400390625,0.0400390625
0.24,0.0,0.0400390625,0.0400390625
0.2405,0.0,0.0400390625,0.0400390625
0.241,0.0,0.0400390625,0.0400390625
0.2415,0.0,0.0,0.0400390625
0.242,0.0,0.0,0.0400390625
0.2425,0.0,0.0,0.0400390625
0.243,0.0,0.0,0.0400390625
0.2435,0.0,0.0,0.0400390625
0.244,0.0,-0.16015625,0.0
0.2445,0.0,-0.16015625,0.0400390625
0.245,-0.1201171875,-0.16015625,0.080078125
0.2455,0.0,-0.16015625,0.0400390625
0.246,0.0,-0.16015625,0.0400390625
0.2465,0.0,-0.16015625,0.0400390625
0.247,0.0,-0.16015625,0.0400390625
0.2475,0.0,-0.16015625,0.0400390625
0.248,0.0,-0.16015625,0.0400390625
0.2485,0.0,-0.16015625,0.0400390625
0.249,0.0400390625,-0.16015625,0.0
0.2495,0.0,-0.16015625,0.0400390625
0.25,0.0400390625,-0.16015625,0.0400390625
0.2505,0.0400390625,-0.16015625,0.0400390625
0.251,0.0400390625,-0.1201171875,0.0400390625
0.2515,0.0400390625,0.0,0.0400390625
0.252,0.0,-0.16015625,0.0400390625
0.2525,0.0,0.0,0.0400390625
0.253,0.0,0.0,0.0
0.2535,0.0,0.0,0.0400390625
0.254,0.0,0.0,0.0400390625
0.2545,0.0,0.0,0.0400390625
0.255,0.0,0.0,0.0400390625
0.2555,0.0,0.0400390625,0.0400390625
0.256,0.0,0.0400390625,0.0400390625
0.2565,0.0,0.0400390625,0.0400390625
0.257,0.0,0.0,0.0400390625
0.2575,0.0,0.0,0.0400390625
0.258,0.0,0.0400390625,0.0400390625
0.2585,0.0,0.0,0.0400390625
0.259,0.0,0.0,0.0400390625
0.2595,0.0,0.0,0.0400390625
0.26,0.0,0.0,0.0400390625
0.2605,0.0,0.0,0.0400390625
0.261,0.0,-0.16015625,0.0
0.2615,0.0,-0.1201171875,0.0400390625
0.262,0.0,-0.16015625,0.0400390625
0.2625,0.0,-0.16015625,0.0400390625
0.263,0.0,-0.16015625,0.0400390625
0.2635,0.0,-0.16015625,0.0400390625
0.264,0.0,-0.16015625,0.0400390625
0.2645,0.0,-0.16015625,0.0400390625
0.265,0.0400390625,-0.16015625,0.0400390625
0.2655,0.0400390625,-0.16015625,0.0400390625
0.266,0.0400390625,-0.16015625,0.0400390625
0.2665,0.0400390625,-0.16015625,0.0
0.267,0.0400390625,-0.16015625,0.0400390625
0.2675,0.0400390625,-0.16015625,0.0400390625
0.268,0.0400390625,-0.16015625,0.0400390625
0.2685,0.0400390625,-0.1201171875,0.0400390625
0.269,0.0,-0.16015625,0.0
0.2695,0.0,0.0,0.0400390625
0.27,0.0,0.0,0.0400390625
0.2705,0.0,0.0,0.0400390625
0.271,0.0,0.0,0.0400390625
0.2715,0.0,0.0,0.0400390625
0.272,0.0,0.0,0.0400390625
0.2725,0.0,0.0400390625,0.0400390625
0.273,0.0,0.0400390625,0.0400390625
0.2735,0.0,0.0,0.0400390625
0.274,0.0,0.0,0.0400390625
0.2745,0.0,0.0,0.0400390625
0.275,0.0,0.0400390625,0.0400390625
0.2755,0.0,0.0,0.0400390625
0.276,0.0,0.0,0.0400390625
0.2765,0.0,0.0,0.0400390625
0.277,0.0,-0.16015625,0.0
0.2775,0.0,0.0,0.0400390625
0.278,0.0,0.0,0.0400390625
0.2785,0.0,0.0,0.0400390625
0.279,0.0,-0.16015625,0.0400390625
0.2795,0.0,-0.16015625,0.0400390625
0.28,0.0,-0.16015625,0.0400390625
0.2805,0.0,-0.16015625,0.0
0.281,0.0,-0.16015625,0.0400390625
0.2815,0.0,-0.16015625,0.0400390625
0.282,0.0400390625,-0.16015625,0.0
0.2825,0.0400390625,-0.16015625,0.0400390625
0.283,0.0400390625,-0.1201171875,0.0400390625
0.2835,0.0400390625,-0.16015625,0.0400390625
0.284,0.0400390625,-0.16015625,0.0400390625
0.2845,0.0,-0.16015625,0.0400390625
0.285,0.0,-0.16015625,0.0
0.2855,0.0400390625,0.0,0.0400390625
0.286,0.0,0.0,0.0400390625
0.2865,0.0,0.0,0.0400390625
0.287,0.0,0.0,0.0400390625
0.2875,0.0,0.0,0.0400390625
0.288,0.0,0.0400390625,0.0400390625
0.2885,0.0,0.0,0.0400390625
0.289,0.0,0.0400390625,0.0400390625
0.2895,0.0,0.0400390625,0.0400390625
0.29,0.0,0.0400390625,0.0400390625
0.2905,0.0,0.0,0.0400390625
0.291,0.0,0.0400390625,0.0400390625
0.2915,0.0,0.0,0.0400390625
0.292,0.0,0.0,0.0400390625
0.2925,0.0,0.0,0.0400390625
0.293,0.0,0.0,0.0
0.2935,0.0,0.0,0.0400390625
0.294,0.0,0.0,0.0400390625
0.2945,0.0,0.0,0.0400390625
0.295,0.0,-0.1201171875,0.0400390625
0.2955,0.0,0.0,0.0400390625
0.296,0.0,-0.16015625,0.0400390625
0.2965,0.0,-0.16015625,0.0400390625
0.297,0.0,-0.16015625,0.0400390625
0.2975,0.0,-0.16015625,0.0400390625
0.298,0.0400390625,-0.16015625,0.0400390625
0.2985,0.0400390625,-0.16015625,0.0
0.299,0.0400390625,-0.16015625,0.0400390625
0.2995,0.0,-0.16015625,0.0400390625
0.3,0.0400390625,-0.16015625,0.0400390625
0.3005,0.0400390625,-0.16015625,0.0400390625
0.301,0.0,-0.2001953125,0.0
0.3015,0.0,0.0,0.0400390625
0.302,0.0,0.0,0.0400390625
0.3025,0.0400390625,0.0,0.0400390625
0.303,0.0,0.0,0.0400390625
0.3035,0.0,0.0,0.0400390625
0.304,0.0,0.0,0.0400390625
0.3045,0.0,0.0400390625,0.0400390625
0.305,0.0,0.0,0.0400390625
0.3055,0.0,0.0400390625,0.0400390625
0.306,0.0,0.0400390625,0.0400390625
0.3065,0.0,0.0400390625,0.0400390625
0.307,0.0,0.0400390625,0.0400390625
0.3075,0.0,0.0,0.0400390625
0.308,0.0,0.0,0.0400390625
0.3085,0.0,0.0,0.0400390625
0.309,0.0,0.0,0.0
0.3095,0.0,0.0,0.0400390625
0.31,0.0,0.0,0.0400390625
0.3105,0.0,0.0,0.0400390625
0.311,0.0,0.0,0.0400390625
0.3115,0.0,0.0,0.0400390625
0.312,0.0,0.0,0.0400390625
0.3125,0.0,-0.16015625,0.0400390625
0.313,0.0,-0.16015625,0.0400390625
0.3135,0.0,-0.16015625,0.0400390625
0.314,0.0,-0.16015625,0.0400390625
0.3145,0.0,-0.16015625,0.0400390625
0.315,0.0,-0.16015625,0.0400390625
0.3155,0.0400390625,-0.16015625,0.0
0.316,0.0400390625,-0.16015625,0.0
0.3165,0.0400390625,-0.16015625,0.0
0.317,0.0,-0.2001953125,0.0
0.3175,0.0,-0.1201171875,0.0400390625
0.318,0.0,0.0,0.0400390625
0.3185,0.0,-0.1201171875,0.0
0.319,0.0,0.0,0.0400390625
0.3195,0.0,0.0,0.0400390625
0.32,0.0,0.0,0.0400390625
0.3205,0.0,0.0,0.0400390625
0.321,0.0,0.0,0.0400390625
0.3215,0.0,0.0,0.0400390625
0.322,0.0,0.0400390625,0.0400390625
0.3225,0.0,0.0,0.0400390625
0.323,0.0,0.0400390625,0.0400390625
0.3235,0.0,0.0400390625,0.0400390625
0.324,0.0,0.0,0.0400390625
0.3245,0.0,0.0,0.0
0.325,0.0,0.0,0.0
0.3255,0.0,0.0,0.0400390625
0.326,0.0,0.0,0.0400390625
0.3265,0.0,0.0,0.0400390625
0.327,0.0,0.0,0.0400390625
0.3275,0.0,0.0,0.0400390625
